                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     14,                 1.9907,                 1.4335,                 1.2859,                0.54497,                0.53433,                0.52056,                0.17523,                 2.1639,                 1.5758,                 1.4002,               0.008713,               0.008713,               0.008713
                     15,                 1.9961,                 1.4008,                 1.2728,                0.60487,                 0.5482,                 0.5499,                0.18603,                 2.1938,                  1.485,                 1.3718,               0.008614,               0.008614,               0.008614
                     16,                 1.9569,                 1.3759,                 1.2588,                0.53897,                0.61007,                0.60318,                0.24418,                 1.9786,                 1.4103,                 1.3265,               0.008515,               0.008515,               0.008515
                     17,                 1.8927,                 1.3332,                 1.2369,                0.62376,                0.57506,                0.58505,                0.23588,                 2.0227,                 1.3508,                 1.3183,               0.008416,               0.008416,               0.008416
                     18,                 1.8979,                  1.323,                 1.2349,                0.57954,                0.60971,                0.61264,                0.24296,                 1.9696,                 1.4276,                 1.3362,               0.008317,               0.008317,               0.008317
                     19,                 1.8969,                 1.2897,                 1.2489,                0.61198,                0.58062,                0.59869,                0.24507,                 1.9528,                 1.3486,                 1.3125,               0.008218,               0.008218,               0.008218
                     20,                 1.8737,                 1.2791,                 1.2177,                0.61198,                 0.6369,                0.62219,                0.25411,                 1.9108,                 1.2865,                 1.2676,               0.008119,               0.008119,               0.008119
                     21,                  1.897,                 1.2604,                 1.2265,                0.51046,                0.51474,                0.49441,                0.15893,                  2.245,                  1.481,                 1.3369,                0.00802,                0.00802,                0.00802
                     22,                 1.9058,                 1.2856,                 1.2132,                0.58508,                0.56919,                0.56758,                0.21727,                 2.0288,                 1.3748,                  1.279,               0.007921,               0.007921,               0.007921
                     23,                 1.8094,                 1.2159,                 1.2041,                0.58598,                0.55648,                0.52771,                0.17845,                 2.3191,                 1.4051,                 1.4393,               0.007822,               0.007822,               0.007822
                     24,                 1.8338,                 1.2464,                 1.2036,                0.63955,                0.63508,                0.62577,                 0.2769,                 1.8412,                 1.3017,                 1.2816,               0.007723,               0.007723,               0.007723
                     25,                  1.844,                  1.228,                 1.2244,                0.66406,                0.61836,                0.64042,                0.25394,                  1.962,                 1.3165,                 1.2768,               0.007624,               0.007624,               0.007624
                     26,                 1.7614,                 1.2055,                 1.1927,                  0.621,                0.64186,                0.64587,                0.28228,                 1.9229,                 1.2793,                 1.3032,               0.007525,               0.007525,               0.007525
                     27,                 1.7798,                 1.1783,                 1.1875,                 0.6061,                0.67062,                0.61885,                0.24413,                 1.9915,                 1.2978,                 1.2733,               0.007426,               0.007426,               0.007426
                     28,                 1.8153,                 1.1901,                 1.1988,                0.64045,                0.62795,                0.63876,                0.23588,                 2.1852,                 1.3141,                 1.3463,               0.007327,               0.007327,               0.007327
                     29,                 1.7465,                 1.1428,                 1.1694,                0.62376,                0.67161,                0.66586,                0.28129,                 1.8885,                 1.2832,                    1.3,               0.007228,               0.007228,               0.007228
                     30,                 1.7452,                 1.1588,                 1.1697,                0.56297,                0.63116,                0.60293,                0.20114,                 2.3476,                 1.3336,                 1.3678,               0.007129,               0.007129,               0.007129
                     31,                 1.7357,                 1.1669,                 1.1753,                0.66767,                0.67721,                0.66947,                0.30231,                 1.8106,                 1.1837,                 1.2577,                0.00703,                0.00703,                0.00703
                     32,                  1.793,                 1.1437,                 1.1785,                 0.6812,                0.69555,                0.69094,                0.29992,                 1.8347,                 1.1792,                 1.2795,               0.006931,               0.006931,               0.006931
                     33,                 1.7197,                 1.1122,                 1.1562,                0.66841,                0.62236,                0.63348,                0.24317,                 2.0654,                 1.2422,                 1.2719,               0.006832,               0.006832,               0.006832
                     34,                 1.6965,                 1.1076,                  1.173,                0.70875,                0.67958,                0.70108,                0.28902,                 1.8962,                 1.1758,                 1.2433,               0.006733,               0.006733,               0.006733
                     35,                 1.7534,                 1.1203,                 1.1662,                 0.6861,                0.68516,                0.67788,                0.29223,                 1.8563,                 1.1643,                  1.257,               0.006634,               0.006634,               0.006634
                     36,                 1.7226,                 1.1099,                  1.161,                0.67312,                0.68004,                0.67665,                0.30229,                 1.7732,                 1.1557,                 1.2293,               0.006535,               0.006535,               0.006535
                     37,                 1.7237,                  1.087,                 1.1427,                0.61583,                0.65429,                 0.6228,                0.23252,                 2.1273,                 1.2461,                 1.2951,               0.006436,               0.006436,               0.006436
                     38,                  1.694,                 1.1075,                 1.1466,                 0.7241,                0.67336,                0.72168,                0.32004,                 1.8163,                 1.1408,                 1.2468,               0.006337,               0.006337,               0.006337
                     39,                   1.73,                 1.0804,                 1.1512,                0.71003,                0.68083,                0.69154,                0.28359,                 1.9311,                 1.1757,                 1.2664,               0.006238,               0.006238,               0.006238
                     40,                 1.6888,                 1.0774,                 1.1455,                0.68338,                0.68111,                0.69924,                0.30644,                 1.8468,                 1.1554,                 1.2442,               0.006139,               0.006139,               0.006139
                     41,                 1.7184,                 1.0887,                 1.1471,                0.70688,                0.70496,                0.71823,                0.32451,                  1.831,                 1.1261,                 1.2551,                0.00604,                0.00604,                0.00604
                     42,                 1.6614,                 1.0582,                 1.1471,                0.67348,                0.64431,                0.65869,                0.25087,                 2.0849,                 1.2356,                 1.3104,               0.005941,               0.005941,               0.005941
                     43,                 1.6974,                  1.073,                 1.1512,                0.70379,                0.71076,                0.71194,                0.31054,                 1.8507,                 1.1399,                 1.2557,               0.005842,               0.005842,               0.005842
                     44,                 1.6706,                 1.0523,                 1.1396,                0.69994,                0.67583,                0.68604,                0.26905,                  1.936,                  1.156,                 1.2464,               0.005743,               0.005743,               0.005743
                     45,                 1.6247,                  1.038,                 1.1282,                0.70262,                0.69849,                0.69209,                0.31983,                 1.7977,                 1.0923,                 1.2482,               0.005644,               0.005644,               0.005644
                     46,                 1.6372,                 1.0038,                 1.1239,                 0.7013,                0.73004,                0.69782,                0.32338,                 1.7971,                 1.0807,                  1.233,               0.005545,               0.005545,               0.005545
                     47,                 1.6497,                  1.039,                 1.1339,                0.71368,                0.68144,                0.69084,                0.30582,                 1.8383,                 1.1078,                 1.2473,               0.005446,               0.005446,               0.005446
                     48,                 1.6281,                  1.021,                 1.1147,                 0.6564,                0.72322,                0.67697,                0.29211,                 1.8838,                 1.1749,                 1.2617,               0.005347,               0.005347,               0.005347
                     49,                 1.6411,                 1.0249,                 1.1217,                0.68686,                  0.743,                0.70985,                0.31956,                 1.7795,                 1.0981,                   1.23,               0.005248,               0.005248,               0.005248
                     50,                 1.5769,                 1.0138,                 1.1148,                0.66802,                0.72855,                0.68965,                0.29241,                 1.8905,                 1.1347,                 1.2497,               0.005149,               0.005149,               0.005149
                     51,                   1.62,                0.99414,                  1.114,                0.70748,                0.67465,                0.70596,                0.31785,                 1.8033,                 1.1076,                 1.2427,                0.00505,                0.00505,                0.00505
                     52,                 1.6262,                 1.0116,                 1.1078,                0.67359,                 0.6892,                0.68899,                 0.3069,                 1.7917,                 1.1519,                 1.2339,               0.004951,               0.004951,               0.004951
                     53,                 1.6298,                 1.0059,                 1.1172,                0.70573,                0.66939,                 0.6892,                0.30299,                 1.8598,                   1.14,                  1.258,               0.004852,               0.004852,               0.004852
                     54,                 1.6339,                 1.0023,                 1.1028,                0.69701,                0.67963,                0.69036,                0.31336,                 1.8282,                 1.1218,                 1.2554,               0.004753,               0.004753,               0.004753
                     55,                 1.6211,                0.98519,                 1.1015,                0.64989,                 0.6663,                0.66401,                0.27719,                 1.9628,                 1.1557,                  1.285,               0.004654,               0.004654,               0.004654
                     56,                  1.577,                0.97628,                 1.0913,                0.68381,                0.69847,                0.71124,                0.31392,                 1.7964,                  1.087,                   1.23,               0.004555,               0.004555,               0.004555
                     57,                 1.5748,                0.97452,                   1.11,                0.69141,                 0.6703,                0.69989,                0.31395,                 1.8021,                 1.0873,                 1.2265,               0.004456,               0.004456,               0.004456
                     58,                 1.5887,                0.98639,                 1.1095,                0.72013,                0.69938,                0.71826,                0.33039,                 1.7828,                 1.0645,                 1.2289,               0.004357,               0.004357,               0.004357
                     59,                 1.5849,                0.96728,                 1.0983,                 0.6927,                0.73753,                0.73571,                0.33789,                 1.7751,                 1.0822,                 1.2335,               0.004258,               0.004258,               0.004258
                     60,                 1.5409,                0.95395,                 1.0993,                0.66572,                0.76635,                 0.7165,                0.32143,                 1.8352,                 1.0935,                 1.2347,               0.004159,               0.004159,               0.004159
                     61,                 1.5612,                 0.9527,                 1.0873,                0.71425,                  0.706,                0.72989,                0.32572,                 1.7904,                 1.0632,                 1.2255,                0.00406,                0.00406,                0.00406
                     62,                 1.5449,                0.95481,                  1.098,                0.65998,                0.71638,                0.70394,                 0.3144,                  1.835,                 1.0978,                 1.2386,               0.003961,               0.003961,               0.003961
                     63,                 1.5912,                0.96198,                 1.0845,                0.67461,                0.69105,                0.68821,                0.28071,                  1.968,                 1.1645,                  1.271,               0.003862,               0.003862,               0.003862
                     64,                 1.5443,                0.93662,                 1.0925,                0.72548,                0.68083,                0.71533,                0.31589,                 1.8455,                 1.1157,                 1.2465,               0.003763,               0.003763,               0.003763
                     65,                 1.5357,                0.94476,                 1.0911,                 0.6804,                0.71825,                0.69472,                0.29522,                 1.9157,                 1.1304,                 1.2536,               0.003664,               0.003664,               0.003664
                     66,                  1.541,                0.94001,                 1.0877,                0.71898,                0.70213,                0.71258,                0.31535,                 1.8255,                  1.074,                 1.2366,               0.003565,               0.003565,               0.003565
                     67,                 1.4996,                0.90794,                 1.0666,                0.73748,                0.67589,                0.71136,                0.32001,                 1.8095,                  1.148,                 1.2412,               0.003466,               0.003466,               0.003466
                     68,                 1.5373,                0.93272,                  1.088,                0.69485,                 0.6943,                0.71219,                0.31159,                 1.8211,                  1.078,                  1.229,               0.003367,               0.003367,               0.003367
                     69,                 1.4918,                 0.9262,                 1.0875,                0.72729,                0.63179,                0.68353,                0.29015,                 1.9493,                 1.1149,                 1.2608,               0.003268,               0.003268,               0.003268
                     70,                 1.5051,                 0.9165,                 1.0729,                0.70771,                0.69589,                0.70959,                0.30239,                  1.923,                 1.1124,                 1.2548,               0.003169,               0.003169,               0.003169
                     71,                 1.5193,                0.90978,                 1.0741,                0.67215,                0.69568,                0.67974,                0.28026,                 1.9873,                 1.1238,                 1.2704,                0.00307,                0.00307,                0.00307
                     72,                 1.5244,                0.93501,                 1.0673,                0.70195,                0.75227,                0.71535,                0.32142,                 1.8023,                  1.061,                 1.2373,               0.002971,               0.002971,               0.002971
                     73,                 1.5044,                0.90097,                 1.0742,                0.67923,                0.72572,                0.69266,                0.29511,                 1.9415,                 1.1058,                 1.2799,               0.002872,               0.002872,               0.002872
                     74,                 1.5003,                0.89986,                 1.0649,                0.68114,                0.75488,                0.71682,                0.32268,                 1.7974,                 1.0864,                 1.2249,               0.002773,               0.002773,               0.002773
                     75,                 1.4826,                0.89889,                 1.0637,                0.68067,                0.73015,                 0.7146,                0.31747,                   1.84,                 1.0936,                 1.2394,               0.002674,               0.002674,               0.002674
                     76,                 1.4666,                0.88359,                 1.0615,                0.69365,                0.73402,                 0.7124,                0.31187,                  1.875,                 1.0927,                 1.2486,               0.002575,               0.002575,               0.002575
                     77,                 1.4511,                 0.8811,                  1.061,                0.68045,                0.74489,                0.71612,                0.32592,                 1.7938,                 1.0749,                 1.2355,               0.002476,               0.002476,               0.002476
                     78,                 1.4844,                0.88856,                 1.0571,                0.69804,                0.72119,                0.72351,                 0.3283,                  1.781,                 1.0754,                 1.2387,               0.002377,               0.002377,               0.002377
                     79,                 1.4726,                0.88503,                 1.0514,                0.69844,                0.73032,                0.72832,                0.33032,                 1.8106,                 1.0958,                 1.2562,               0.002278,               0.002278,               0.002278
                     80,                  1.415,                0.86339,                 1.0561,                0.72389,                0.71546,                0.73157,                0.33947,                 1.7798,                 1.0522,                 1.2359,               0.002179,               0.002179,               0.002179
                     81,                 1.4279,                0.86751,                 1.0366,                0.68303,                0.73773,                0.71779,                 0.3303,                 1.8309,                 1.0692,                 1.2511,                0.00208,                0.00208,                0.00208
                     82,                 1.4558,                0.86826,                 1.0474,                0.67494,                0.73434,                0.71522,                0.31881,                 1.8485,                  1.081,                 1.2559,               0.001981,               0.001981,               0.001981
                     83,                 1.4559,                0.87159,                 1.0547,                0.67619,                0.76371,                 0.7214,                0.32483,                 1.8467,                 1.0739,                 1.2545,               0.001882,               0.001882,               0.001882
                     84,                  1.439,                0.86311,                 1.0417,                0.68619,                0.72717,                0.71359,                0.31091,                 1.8821,                 1.0912,                 1.2594,               0.001783,               0.001783,               0.001783
                     85,                 1.4332,                0.86185,                  1.057,                0.67528,                0.76513,                0.73115,                0.33149,                 1.7816,                 1.0472,                 1.2424,               0.001684,               0.001684,               0.001684
                     86,                 1.4109,                0.84624,                 1.0433,                0.68139,                0.74732,                0.72689,                0.32767,                   1.85,                 1.0464,                 1.2454,               0.001585,               0.001585,               0.001585
                     87,                 1.4315,                0.86095,                 1.0451,                0.69665,                0.74608,                0.72861,                0.32789,                  1.815,                  1.027,                 1.2367,               0.001486,               0.001486,               0.001486
                     88,                 1.4262,                0.86188,                 1.0461,                0.69452,                0.75882,                 0.7347,                   0.33,                 1.8061,                 1.0302,                 1.2322,               0.001387,               0.001387,               0.001387
                     89,                  1.422,                0.85575,                 1.0396,                0.73278,                0.69662,                0.72333,                0.32159,                 1.8645,                 1.0516,                 1.2522,               0.001288,               0.001288,               0.001288
                     90,                 1.4225,                0.84975,                 1.0355,                0.73863,                0.71578,                0.73625,                0.33628,                 1.7853,                 1.0333,                 1.2316,               0.001189,               0.001189,               0.001189
                     91,                 1.4344,                0.89124,                 1.0755,                0.71459,                0.73619,                0.73937,                0.34276,                 1.7844,                 1.0198,                 1.2553,                0.00109,                0.00109,                0.00109
                     92,                  1.411,                0.86536,                 1.0676,                0.69042,                0.74773,                0.72427,                0.33101,                 1.7969,                 1.0381,                 1.2492,               0.000991,               0.000991,               0.000991
                     93,                 1.4018,                0.84767,                 1.0598,                 0.7281,                0.69466,                0.72839,                0.33862,                 1.7677,                 1.0254,                 1.2422,               0.000892,               0.000892,               0.000892
                     94,                  1.386,                0.84677,                  1.061,                 0.6899,                0.74609,                0.73408,                0.33607,                 1.7938,                 1.0553,                 1.2514,               0.000793,               0.000793,               0.000793
                     95,                 1.3982,                0.84474,                 1.0484,                0.68454,                0.74816,                 0.7347,                0.32895,                 1.8325,                 1.0701,                 1.2582,               0.000694,               0.000694,               0.000694
                     96,                  1.355,                0.83171,                 1.0603,                0.71251,                   0.75,                 0.7366,                0.34416,                 1.7871,                 1.0501,                 1.2411,               0.000595,               0.000595,               0.000595
                     97,                 1.3577,                0.82302,                 1.0478,                0.70656,                0.74001,                   0.73,                0.32999,                 1.8245,                 1.0588,                 1.2467,               0.000496,               0.000496,               0.000496
                     98,                 1.3591,                0.83308,                 1.0529,                0.70365,                0.75444,                0.73163,                0.32779,                 1.8223,                 1.0504,                 1.2408,               0.000397,               0.000397,               0.000397
                     99,                 1.3313,                0.82012,                 1.0422,                0.70128,                0.75453,                0.73463,                0.33127,                 1.8111,                 1.0376,                  1.235,               0.000298,               0.000298,               0.000298
                    100,                 1.3705,                 0.8294,                 1.0561,                  0.702,                0.75458,                0.73472,                0.33572,                 1.8034,                 1.0428,                 1.2336,               0.000199,               0.000199,               0.000199
