                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8518,                  3.846,                 1.8118,                0.00229,                0.01609,                0.00122,                0.00048,                 2.2949,                 3.5425,                 1.5882,                 0.0883,                 0.0013,                 0.0013
                      2,                 2.3777,                  2.515,                 1.5711,                0.05091,                0.40934,                0.20651,                0.07553,                 2.1953,                 2.9432,                 1.4458,               0.075673,              0.0026733,              0.0026733
                      3,                 2.2568,                 2.0631,                 1.5309,                0.03965,                0.44307,                0.26366,                0.08745,                 2.2686,                 2.7841,                 1.4342,               0.063019,              0.0040188,              0.0040188
                      4,                 2.2552,                  1.866,                 1.4564,                0.04549,                0.45545,                0.30068,                0.10725,                 2.1862,                 2.5662,                  1.464,               0.050337,              0.0053367,              0.0053367
                      5,                 2.2282,                 1.7673,                 1.4308,                0.15281,                0.31348,                0.25039,                0.07247,                 2.4205,                 2.4591,                 1.4065,               0.037627,              0.0066268,              0.0066268
                      6,                 2.1867,                 1.7765,                 1.4112,                0.51231,                0.26222,                0.30629,                0.10124,                 2.2742,                 2.0891,                  1.539,               0.024889,              0.0078891,              0.0078891
                      7,                 2.0974,                 1.6183,                 1.3896,                0.63498,                0.26004,                 0.3479,                0.10497,                 2.4468,                 2.0425,                 1.4808,               0.012124,              0.0091238,              0.0091238
                      8,                 2.2639,                 1.6709,                 1.3845,                0.49045,                0.38406,                0.35465,                0.11112,                  2.361,                 1.9156,                 1.4943,               0.009307,               0.009307,               0.009307
                      9,                 2.0869,                 1.5976,                 1.3422,                 0.4967,                0.48285,                0.47553,                 0.1866,                 2.0575,                 1.5922,                 1.3485,               0.009208,               0.009208,               0.009208
                     10,                 2.1346,                 1.5607,                 1.3284,                0.56152,                0.46093,                0.47507,                0.17684,                 2.0855,                 1.5159,                 1.3602,               0.009109,               0.009109,               0.009109
                     11,                  2.032,                 1.5045,                 1.3187,                0.50152,                0.45701,                0.42203,                0.13443,                 2.3727,                  1.695,                 1.4817,                0.00901,                0.00901,                0.00901
                     12,                  2.045,                 1.5323,                 1.3075,                0.57747,                0.60101,                0.55688,                0.20903,                 2.0543,                 1.5249,                 1.3452,               0.008911,               0.008911,               0.008911
                     13,                 2.0214,                  1.441,                 1.2884,                0.57981,                0.54752,                0.51265,                0.17188,                 2.3119,                 1.5366,                 1.4471,               0.008812,               0.008812,               0.008812
