                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.395,                 3.1953,                  1.578,                0.21892,                0.19603,                0.16303,                0.07399,                 1.2983,                 3.4216,                 1.7169,               0.070405,              0.0032883,              0.0032883
                      2,                 1.3638,                 2.5848,                 1.5071,                0.15423,                0.38987,                0.12724,                0.04693,                 1.7473,                 3.4253,                 2.2923,                0.04034,              0.0065561,              0.0065561
                      3,                 1.3977,                 2.3792,                 1.5457,                0.17611,                0.12937,                0.07013,                0.03043,                 1.8804,                 4.1545,                 2.4054,               0.010208,              0.0097578,              0.0097578
                      4,                 1.4909,                 2.4078,                 1.6174,                0.20982,                0.32647,                0.18426,                0.06782,                 1.9285,                  3.536,                 2.5754,               0.009703,               0.009703,               0.009703
                      5,                  1.464,                 2.2877,                 1.5935,                0.51374,                0.09603,                0.06136,                0.02594,                 1.9412,                 4.8361,                 2.3701,               0.009604,               0.009604,               0.009604
                      6,                 1.4785,                 2.2319,                  1.599,                0.08065,                0.31429,                  0.118,                0.04649,                 1.9009,                 3.3817,                  2.417,               0.009505,               0.009505,               0.009505
                      7,                 1.4638,                 2.1052,                 1.5729,                0.07108,                    0.2,                0.05795,                0.02514,                 1.6824,                 3.6482,                 2.2795,               0.009406,               0.009406,               0.009406
                      8,                 1.4638,                 2.0385,                 1.5768,                0.07061,                 0.2881,                0.09054,                0.04343,                 1.7246,                 3.1549,                 2.1798,               0.009307,               0.009307,               0.009307
                      9,                 1.4596,                 1.9989,                 1.5754,                 0.0644,                0.29762,                0.06717,                0.02857,                 1.8972,                 3.1743,                 2.3452,               0.009208,               0.009208,               0.009208
                     10,                 1.4439,                 1.9512,                 1.5701,                0.08914,                0.19841,                0.09306,                 0.0389,                 1.8727,                 2.9169,                 2.4376,               0.009109,               0.009109,               0.009109
                     11,                 1.4051,                 1.8367,                 1.5274,                0.07654,                0.32857,                 0.0663,                0.02438,                 1.9305,                 3.1489,                 2.4196,                0.00901,                0.00901,                0.00901
                     12,                 1.4293,                  1.836,                 1.5534,                0.06722,                0.31032,                0.09318,                0.04186,                 1.7769,                 3.0508,                 2.2069,               0.008911,               0.008911,               0.008911
                     13,                   1.39,                 1.7463,                  1.535,                 0.1082,                0.36032,                0.09217,                0.03676,                 1.8656,                 3.1759,                 2.3082,               0.008812,               0.008812,               0.008812
                     14,                 1.3714,                 1.7678,                 1.5307,                0.10055,                0.22778,                0.08624,                0.03503,                 1.9523,                 3.1231,                 2.4052,               0.008713,               0.008713,               0.008713
                     15,                 1.3763,                  1.718,                  1.527,                0.06486,                 0.2619,                0.06516,                0.02871,                 1.7942,                 3.1391,                 2.2238,               0.008614,               0.008614,               0.008614
                     16,                  1.356,                 1.6576,                 1.4991,                0.09295,                 0.2699,                0.09545,                0.04615,                 1.7279,                 2.9926,                 2.1763,               0.008515,               0.008515,               0.008515
                     17,                 1.3344,                  1.624,                 1.4986,                0.09041,                0.19683,                0.08085,                0.03478,                 1.8589,                 3.0768,                 2.2609,               0.008416,               0.008416,               0.008416
                     18,                 1.3278,                 1.5564,                  1.471,                0.10944,                0.22857,                0.09029,                0.04327,                 1.7662,                 3.0634,                 2.1115,               0.008317,               0.008317,               0.008317
                     19,                 1.2955,                 1.4999,                 1.4495,                0.08919,                0.35635,                 0.0941,                0.04683,                 1.7471,                 3.0514,                 2.1519,               0.008218,               0.008218,               0.008218
                     20,                 1.3047,                 1.4989,                 1.4684,                0.09325,                0.39444,                0.11362,                0.05315,                 1.8042,                  2.982,                 2.2373,               0.008119,               0.008119,               0.008119
                     21,                 1.2893,                 1.4666,                 1.4477,                0.06461,                0.19762,                0.09632,                0.04011,                 1.8849,                 3.0858,                 2.2771,                0.00802,                0.00802,                0.00802
                     22,                 1.2921,                 1.4474,                 1.4429,                0.09605,                0.29206,                0.08251,                0.03551,                  1.898,                 3.2694,                 2.3016,               0.007921,               0.007921,               0.007921
                     23,                 1.2766,                 1.4374,                 1.4503,                0.08241,                0.34286,                0.07764,                0.03613,                  1.949,                 3.3147,                 2.3586,               0.007822,               0.007822,               0.007822
                     24,                 1.2833,                 1.4236,                 1.4455,                0.08008,                0.29524,                 0.1082,                0.03917,                 2.0452,                 3.1868,                 2.5179,               0.007723,               0.007723,               0.007723
                     25,                 1.2716,                 1.3733,                 1.4466,                0.11849,                0.31508,                0.09715,                0.04562,                  1.783,                 3.1716,                 2.1698,               0.007624,               0.007624,               0.007624
                     26,                 1.2523,                 1.3369,                  1.414,                0.07917,                0.32778,                0.05799,                0.02548,                 1.7098,                 3.8357,                 2.1247,               0.007525,               0.007525,               0.007525
