                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3979,                 4.5335,                  1.574,                0.23458,                0.22788,                0.23394,                0.13061,                  1.351,                 3.0164,                 1.6162,               0.070405,              0.0032883,              0.0032883
                      2,                 1.4695,                 3.1113,                 1.5543,                0.27776,                0.49203,                0.28209,                0.14644,                 1.4698,                 2.2294,                 1.7143,               0.040242,              0.0064577,              0.0064577
                      3,                 1.4711,                 2.8548,                 1.5837,                0.27433,                0.42914,                0.24289,                 0.1215,                  1.557,                 2.5621,                 1.7984,              0.0099126,              0.0094622,              0.0094622
                      4,                 1.5208,                 2.8473,                 1.6281,                0.26154,                 0.3741,                0.21559,                0.10433,                 1.6869,                 2.6944,                  1.979,              0.0092575,              0.0092575,              0.0092575
                      5,                 1.4884,                 2.7293,                 1.5961,                0.29594,                0.40825,                0.27591,                 0.1464,                 1.6039,                 2.3788,                 1.8878,                0.00901,                0.00901,                0.00901
                      6,                 1.5045,                 2.6529,                 1.6138,                0.36727,                0.46972,                0.35066,                0.19114,                 1.4867,                 2.2292,                 1.7451,              0.0087625,              0.0087625,              0.0087625
                      7,                 1.4676,                  2.518,                 1.5757,                0.36275,                0.47019,                0.34738,                0.19364,                 1.5486,                 2.1618,                 1.8205,               0.008515,               0.008515,               0.008515
                      8,                 1.4476,                 2.4574,                 1.5673,                0.34043,                0.39811,                0.29178,                0.16303,                 1.5261,                 2.7249,                 1.7791,              0.0082675,              0.0082675,              0.0082675
                      9,                 1.4548,                 2.3694,                 1.5647,                0.48737,                 0.4827,                0.48022,                0.27699,                 1.4291,                 1.8564,                 1.7026,                0.00802,                0.00802,                0.00802
                     10,                 1.4202,                 2.3416,                 1.5506,                0.44727,                0.53302,                0.47995,                0.26819,                 1.4266,                 1.8293,                 1.6499,              0.0077725,              0.0077725,              0.0077725
                     11,                  1.387,                 2.1862,                 1.5112,                0.50223,                 0.5683,                0.56209,                0.31957,                 1.4351,                  1.745,                  1.664,               0.007525,               0.007525,               0.007525
                     12,                 1.4022,                 2.1734,                 1.5228,                0.57419,                0.66365,                0.64126,                0.38934,                  1.295,                 1.5249,                 1.5513,              0.0072775,              0.0072775,              0.0072775
                     13,                 1.3425,                 2.0756,                 1.4983,                0.53685,                0.56485,                0.52956,                0.31529,                 1.3646,                 1.7475,                 1.5897,                0.00703,                0.00703,                0.00703
                     14,                 1.3439,                 2.0591,                 1.5076,                0.68386,                0.66011,                0.71664,                0.44532,                  1.251,                 1.4079,                 1.5088,              0.0067825,              0.0067825,              0.0067825
                     15,                 1.3302,                 1.9688,                 1.4804,                0.64875,                  0.694,                0.72682,                0.46273,                 1.2524,                 1.3471,                 1.4845,               0.006535,               0.006535,               0.006535
                     16,                 1.2895,                 1.9018,                  1.443,                 0.6838,                0.67162,                0.71583,                0.45482,                 1.2299,                 1.3057,                 1.4813,              0.0062875,              0.0062875,              0.0062875
