                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     17,                 1.2824,                 1.8566,                 1.4518,                0.68301,                0.69904,                0.75102,                 0.4765,                 1.2323,                 1.2754,                 1.4844,                0.00604,                0.00604,                0.00604
                     18,                 1.2641,                 1.7366,                 1.4258,                0.70185,                0.72225,                0.79089,                0.51203,                 1.1891,                 1.1905,                 1.4308,              0.0057925,              0.0057925,              0.0057925
                     19,                 1.2283,                 1.6654,                 1.3941,                0.73001,                0.72708,                0.78032,                0.51792,                 1.2011,                 1.1665,                 1.4424,               0.005545,               0.005545,               0.005545
                     20,                 1.2404,                 1.6694,                  1.408,                0.82383,                0.73532,                0.83486,                0.56033,                 1.1295,                 1.0826,                 1.3972,              0.0052975,              0.0052975,              0.0052975
                     21,                 1.2236,                 1.6539,                 1.4003,                0.75848,                0.75309,                0.82289,                 0.5591,                 1.1258,                  1.103,                 1.3759,                0.00505,                0.00505,                0.00505
                     22,                 1.2164,                 1.5821,                 1.3866,                0.83887,                0.81408,                0.88981,                 0.6232,                 1.0617,                 0.9373,                 1.3383,              0.0048025,              0.0048025,              0.0048025
                     23,                 1.1968,                 1.5318,                 1.3741,                0.88123,                0.82535,                0.91296,                0.64825,                 1.0363,                0.87989,                 1.3186,               0.004555,               0.004555,               0.004555
                     24,                 1.2028,                 1.5332,                 1.3759,                0.86372,                0.81035,                0.91037,                0.64255,                 1.0266,                0.88644,                    1.3,              0.0043075,              0.0043075,              0.0043075
                     25,                 1.1631,                 1.4765,                 1.3656,                0.85077,                0.83971,                0.90323,                 0.6389,                 1.0242,                0.88483,                  1.294,                0.00406,                0.00406,                0.00406
                     26,                 1.1599,                 1.4412,                  1.339,                0.90586,                0.84888,                0.93612,                0.68076,                0.98755,                0.82109,                   1.27,              0.0038125,              0.0038125,              0.0038125
                     27,                 1.1344,                 1.3619,                 1.3255,                0.89812,                0.88888,                0.94337,                0.67987,                0.98577,                0.77285,                 1.2629,               0.003565,               0.003565,               0.003565
                     28,                  1.125,                 1.3662,                 1.3149,                 0.9202,                0.89536,                0.95271,                0.69589,                0.96847,                0.76464,                 1.2545,              0.0033175,              0.0033175,              0.0033175
                     29,                  1.081,                 1.2873,                 1.2976,                0.92894,                0.89204,                0.95541,                 0.7022,                0.95141,                0.73404,                 1.2219,                0.00307,                0.00307,                0.00307
                     30,                 1.0808,                 1.2781,                 1.2826,                0.92954,                0.90679,                0.95528,                0.71351,                0.92105,                0.68999,                 1.2125,              0.0028225,              0.0028225,              0.0028225
                     31,                 1.0053,                 1.3727,                 1.2921,                0.90637,                0.87259,                0.94179,                 0.7006,                0.94359,                0.75568,                 1.2145,               0.002575,               0.002575,               0.002575
                     32,                0.97745,                 1.2731,                 1.2667,                0.92055,                0.89709,                0.95628,                0.72242,                0.89271,                0.72277,                 1.1856,              0.0023275,              0.0023275,              0.0023275
                     33,                0.93248,                 1.2189,                 1.2256,                0.95429,                0.91869,                0.97241,                0.74991,                0.85584,                0.63719,                 1.1552,                0.00208,                0.00208,                0.00208
                     34,                0.92577,                 1.1505,                  1.229,                 0.9537,                0.92873,                0.97674,                0.75908,                0.82991,                0.61969,                 1.1424,              0.0018325,              0.0018325,              0.0018325
                     35,                0.89324,                 1.1243,                 1.2023,                0.95841,                0.94582,                0.97969,                 0.7738,                 0.8003,                0.59072,                 1.1219,               0.001585,               0.001585,               0.001585
                     36,                0.86287,                 1.0696,                 1.1827,                 0.9734,                0.94928,                0.98348,                 0.7775,                0.78775,                0.57015,                  1.109,              0.0013375,              0.0013375,              0.0013375
                     37,                0.86168,                 1.0526,                 1.1877,                   0.97,                0.95183,                0.98539,                0.78052,                0.78114,                 0.5666,                 1.1038,                0.00109,                0.00109,                0.00109
                     38,                0.84124,                 1.0114,                 1.1624,                0.97508,                0.96195,                0.98719,                0.79147,                0.76355,                0.53909,                 1.0873,              0.0008425,              0.0008425,              0.0008425
                     39,                0.83381,                0.98647,                 1.1468,                0.98355,                0.96863,                0.98881,                0.80739,                0.72669,                0.52288,                 1.0674,               0.000595,               0.000595,               0.000595
                     40,                0.81053,                0.97427,                 1.1441,                0.98275,                0.97175,                 0.9884,                0.80849,                0.71599,                0.50962,                 1.0599,              0.0003475,              0.0003475,              0.0003475
