                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.395,                 3.1953,                  1.578,                0.21892,                0.19603,                0.16303,                0.07399,                 1.2983,                 3.4216,                 1.7169,               0.070405,              0.0032883,              0.0032883
                      2,                 1.3638,                 2.5848,                 1.5071,                0.15423,                0.38987,                0.12724,                0.04693,                 1.7473,                 3.4253,                 2.2923,                0.04034,              0.0065561,              0.0065561
                      3,                 1.3977,                 2.3792,                 1.5457,                0.17611,                0.12937,                0.07013,                0.03043,                 1.8804,                 4.1545,                 2.4054,               0.010208,              0.0097578,              0.0097578
                      4,                 1.4909,                 2.4078,                 1.6174,                0.20982,                0.32647,                0.18426,                0.06782,                 1.9285,                  3.536,                 2.5754,               0.009703,               0.009703,               0.009703
                      5,                  1.464,                 2.2877,                 1.5935,                0.51374,                0.09603,                0.06136,                0.02594,                 1.9412,                 4.8361,                 2.3701,               0.009604,               0.009604,               0.009604
                      6,                 1.4785,                 2.2319,                  1.599,                0.08065,                0.31429,                  0.118,                0.04649,                 1.9009,                 3.3817,                  2.417,               0.009505,               0.009505,               0.009505
                      7,                 1.4638,                 2.1052,                 1.5729,                0.07108,                    0.2,                0.05795,                0.02514,                 1.6824,                 3.6482,                 2.2795,               0.009406,               0.009406,               0.009406
                      8,                 1.4638,                 2.0385,                 1.5768,                0.07061,                 0.2881,                0.09054,                0.04343,                 1.7246,                 3.1549,                 2.1798,               0.009307,               0.009307,               0.009307
                      9,                 1.4596,                 1.9989,                 1.5754,                 0.0644,                0.29762,                0.06717,                0.02857,                 1.8972,                 3.1743,                 2.3452,               0.009208,               0.009208,               0.009208
                     10,                 1.4439,                 1.9512,                 1.5701,                0.08914,                0.19841,                0.09306,                 0.0389,                 1.8727,                 2.9169,                 2.4376,               0.009109,               0.009109,               0.009109
