                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.395,                 3.1953,                  1.578,                0.27516,                0.15821,                 0.2004,                0.10609,                 1.2722,                 3.0998,                 1.5347,               0.070405,              0.0032883,              0.0032883
                      2,                 1.3792,                 2.5823,                 1.5118,                 0.2916,                0.44046,                0.27908,                0.13966,                 1.4862,                 2.8489,                 1.7741,               0.040242,              0.0064577,              0.0064577
                      3,                 1.4071,                 2.4058,                 1.5522,                0.21118,                0.32874,                0.18091,                0.09278,                 1.6294,                 3.3339,                 1.9938,              0.0099126,              0.0094622,              0.0094622
                      4,                 1.4828,                 2.3835,                 1.6046,                0.26349,                0.27385,                0.16364,                0.08013,                  1.883,                 3.2464,                 2.3213,              0.0092575,              0.0092575,              0.0092575
                      5,                 1.4478,                 2.2727,                 1.5789,                 0.2997,                0.41589,                0.25443,                0.13767,                 1.5119,                 2.8611,                  1.857,                0.00901,                0.00901,                0.00901
                      6,                 1.4693,                 2.1905,                 1.5854,                0.37614,                0.43782,                0.34404,                0.18584,                 1.4956,                 2.3646,                  1.771,              0.0087625,              0.0087625,              0.0087625
                      7,                 1.4529,                 2.0773,                 1.5755,                0.29969,                0.46425,                0.32085,                0.17728,                 1.4555,                 2.3408,                  1.744,               0.008515,               0.008515,               0.008515
                      8,                 1.4265,                 2.0173,                 1.5727,                0.31235,                0.40331,                0.30734,                0.16685,                 1.6097,                 2.3212,                 1.8807,              0.0082675,              0.0082675,              0.0082675
                      9,                 1.4331,                  1.982,                 1.5671,                0.50416,                0.52399,                0.51417,                0.29664,                 1.3943,                 1.7932,                 1.6309,                0.00802,                0.00802,                0.00802
                     10,                 1.4032,                 1.9132,                 1.5269,                0.45031,                 0.5744,                0.52366,                0.29627,                 1.4228,                 1.8001,                 1.6546,              0.0077725,              0.0077725,              0.0077725
                     11,                 1.3569,                  1.799,                 1.5003,                0.54803,                0.55277,                0.56108,                0.33129,                 1.3735,                 1.7026,                 1.6311,               0.007525,               0.007525,               0.007525
                     12,                 1.3889,                 1.7897,                 1.5217,                0.55626,                0.47889,                0.50106,                0.28489,                 1.4482,                 1.9218,                 1.7522,              0.0072775,              0.0072775,              0.0072775
                     13,                  1.328,                 1.6806,                  1.484,                0.65396,                0.58844,                0.66232,                0.39918,                 1.3312,                  1.471,                 1.5808,                0.00703,                0.00703,                0.00703
