                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     14,                 1.3232,                 1.6665,                 1.4884,                0.62707,                0.60775,                0.63922,                0.38363,                 1.3389,                 1.5418,                 1.6108,              0.0067825,              0.0067825,              0.0067825
                     15,                 1.3324,                  1.633,                 1.4835,                0.53424,                0.61763,                0.61325,                0.36568,                 1.2985,                 1.5345,                 1.5374,               0.006535,               0.006535,               0.006535
                     16,                 1.3018,                  1.587,                 1.4598,                0.73097,                0.68643,                0.74541,                0.46928,                 1.2479,                 1.2667,                 1.5178,              0.0062875,              0.0062875,              0.0062875
                     17,                 1.2683,                 1.5416,                 1.4402,                 0.6349,                0.63213,                0.68082,                0.43756,                 1.2358,                 1.3648,                  1.495,                0.00604,                0.00604,                0.00604
                     18,                 1.2711,                 1.4551,                 1.4344,                0.74424,                0.65909,                0.74661,                0.49733,                 1.1618,                 1.2156,                 1.4304,              0.0057925,              0.0057925,              0.0057925
                     19,                 1.2365,                  1.393,                 1.4066,                 0.6513,                0.62686,                0.67869,                0.44314,                 1.1951,                 1.3791,                  1.455,               0.005545,               0.005545,               0.005545
                     20,                  1.228,                 1.3936,                 1.4053,                0.77093,                0.73639,                0.80777,                0.55238,                 1.1106,                 1.1289,                 1.3944,              0.0052975,              0.0052975,              0.0052975
                     21,                 1.2116,                 1.3549,                 1.3928,                0.78273,                0.67661,                0.79731,                0.54418,                 1.1265,                 1.1227,                 1.4097,                0.00505,                0.00505,                0.00505
                     22,                 1.2038,                 1.3283,                  1.383,                0.77418,                0.74726,                 0.8367,                0.56782,                 1.1128,                 1.0702,                 1.3879,              0.0048025,              0.0048025,              0.0048025
                     23,                 1.1835,                 1.2805,                 1.3807,                0.78552,                0.77096,                0.86518,                0.61204,                 1.0487,                0.99189,                 1.3442,               0.004555,               0.004555,               0.004555
                     24,                 1.2004,                 1.2854,                 1.3722,                0.85668,                0.83774,                 0.9074,                 0.6424,                 1.0488,                0.87016,                 1.3273,              0.0043075,              0.0043075,              0.0043075
                     25,                 1.1703,                 1.2154,                 1.3688,                0.87617,                0.82176,                0.91174,                0.66293,                0.99919,                0.82434,                 1.2916,                0.00406,                0.00406,                0.00406
                     26,                 1.1489,                 1.2019,                 1.3428,                0.89874,                0.83107,                0.92118,                0.67346,                0.97661,                0.81194,                 1.2801,              0.0038125,              0.0038125,              0.0038125
                     27,                 1.1172,                 1.1321,                 1.3273,                0.91055,                0.86402,                0.94708,                0.69874,                0.94921,                0.74034,                 1.2504,               0.003565,               0.003565,               0.003565
                     28,                 1.1302,                 1.1585,                 1.3392,                0.86092,                0.83327,                0.91019,                0.66001,                 1.0027,                0.83149,                 1.2891,              0.0033175,              0.0033175,              0.0033175
                     29,                 1.0793,                 1.0864,                 1.3031,                0.93768,                0.89761,                0.96001,                0.70907,                0.95091,                0.70117,                  1.239,                0.00307,                0.00307,                0.00307
                     30,                 1.0808,                 1.0849,                 1.2903,                  0.923,                0.86563,                0.95403,                0.72118,                0.90304,                0.70558,                 1.2107,              0.0028225,              0.0028225,              0.0028225
                     31,                 1.0108,                0.97551,                 1.3014,                0.90488,                0.87173,                0.94307,                 0.7012,                0.92594,                 0.7461,                 1.2232,               0.002575,               0.002575,               0.002575
                     32,                0.96238,                0.86516,                 1.2656,                 0.9417,                0.91677,                 0.9734,                0.74009,                0.87803,                 0.6429,                 1.1867,              0.0023275,              0.0023275,              0.0023275
                     33,                0.94136,                0.82759,                 1.2389,                0.95595,                0.91519,                0.97463,                0.75081,                0.86324,                0.61986,                 1.1678,                0.00208,                0.00208,                0.00208
                     34,                0.92743,                0.78087,                 1.2278,                0.94432,                0.92965,                0.97581,                0.76273,                0.81718,                0.60583,                  1.139,              0.0018325,              0.0018325,              0.0018325
                     35,                0.89205,                  0.754,                 1.2073,                0.93315,                0.95254,                0.98271,                0.77672,                0.78973,                0.58072,                 1.1229,               0.001585,               0.001585,               0.001585
                     36,                0.88181,                0.72313,                 1.2027,                0.96296,                0.94407,                0.98479,                0.78335,                0.77981,                0.55627,                 1.1098,              0.0013375,              0.0013375,              0.0013375
                     37,                 0.8556,                0.70313,                 1.1943,                0.96149,                0.95668,                0.98514,                0.78425,                0.78933,                0.54695,                 1.1174,                0.00109,                0.00109,                0.00109
                     38,                0.83473,                  0.692,                 1.1688,                0.97315,                0.95684,                0.98728,                0.79409,                0.75623,                0.52877,                 1.0872,              0.0008425,              0.0008425,              0.0008425
                     39,                0.81876,                0.64652,                 1.1509,                0.97479,                0.96064,                0.98877,                0.80492,                0.72852,                0.51277,                 1.0759,               0.000595,               0.000595,               0.000595
                     40,                0.80559,                 0.6376,                 1.1455,                0.97205,                0.97042,                0.98875,                 0.8097,                0.70777,                0.49969,                 1.0636,              0.0003475,              0.0003475,              0.0003475
