                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5287,                 3.4706,                 1.7721,                0.00319,                 0.8192,                0.14614,                0.06022,                 1.3325,                  3.769,                 1.8129,               0.070732,               0.003252,               0.003252
                      2,                 1.3967,                  2.905,                 1.6472,                0.22638,                 0.2086,                0.17242,                0.07327,                 1.5614,                 3.4676,                 1.9732,               0.040406,              0.0062594,              0.0062594
                      3,                 1.4375,                 2.6559,                 1.6309,                0.22625,                0.33033,                0.18097,                0.08363,                 1.6611,                 3.2107,                 2.0667,              0.0097498,              0.0089367,              0.0089367
                      4,                 1.4908,                 2.6268,                 1.6798,                0.33877,                0.27283,                0.20531,                0.08888,                 1.7799,                 3.6873,                 2.1985,               0.008515,               0.008515,               0.008515
                      5,                 1.5019,                 2.5935,                 1.7176,                0.27643,                0.31712,                0.23999,                0.11885,                 1.7229,                 3.1467,                 2.1153,                0.00802,                0.00802,                0.00802
                      6,                 1.4887,                 2.4903,                 1.6827,                0.19655,                0.37234,                 0.1782,                0.08648,                 1.9228,                 4.7326,                 2.3032,               0.007525,               0.007525,               0.007525
                      7,                  1.506,                 2.4638,                 1.6988,                0.31094,                0.30338,                0.24338,                0.12564,                 1.6805,                 2.8072,                  2.081,                0.00703,                0.00703,                0.00703
                      8,                 1.4634,                 2.3521,                 1.6655,                0.27489,                0.49665,                0.26922,                0.13665,                 1.6943,                 2.6525,                 2.1578,               0.006535,               0.006535,               0.006535
                      9,                 1.4345,                 2.2873,                 1.6371,                0.29891,                0.43753,                0.29377,                0.13972,                 1.6866,                 2.8172,                 2.1161,                0.00604,                0.00604,                0.00604
                     10,                 1.4514,                 2.2175,                 1.6251,                0.30541,                0.40445,                0.26991,                0.12899,                 1.7199,                 2.5779,                 2.1367,               0.005545,               0.005545,               0.005545
                     11,                 1.3918,                 2.3698,                  1.765,                0.36544,                0.32359,                0.26801,                0.12163,                 1.7015,                 2.6574,                 2.0688,                0.00505,                0.00505,                0.00505
                     12,                 1.3692,                   2.12,                 1.7185,                0.42663,                0.38916,                0.34166,                0.17534,                 1.5422,                 2.2763,                 1.8517,               0.004555,               0.004555,               0.004555
                     13,                 1.3288,                 2.0434,                 1.6972,                  0.433,                 0.4681,                0.37563,                0.18854,                 1.6142,                 2.2298,                 2.0239,                0.00406,                0.00406,                0.00406
                     14,                 1.3354,                 1.9692,                 1.6556,                0.39796,                0.47608,                0.37293,                0.20551,                  1.477,                 2.0603,                 1.8189,               0.003565,               0.003565,               0.003565
                     15,                 1.2706,                 1.8378,                 1.6076,                 0.3994,                 0.4886,                0.39954,                0.22572,                 1.4309,                 2.0197,                 1.7592,                0.00307,                0.00307,                0.00307
                     16,                  1.208,                 1.7487,                 1.5382,                0.51071,                 0.5081,                0.48426,                0.29157,                 1.4208,                 1.8534,                 1.7487,               0.002575,               0.002575,               0.002575
                     17,                 1.2105,                 1.6793,                 1.5866,                0.53222,                 0.5776,                0.53938,                0.32994,                 1.3952,                 1.7737,                 1.7309,                0.00208,                0.00208,                0.00208
                     18,                 1.1916,                 1.6045,                 1.5393,                0.50734,                0.52693,                 0.5324,                0.32281,                 1.3974,                 1.7372,                 1.7339,               0.001585,               0.001585,               0.001585
                     19,                 1.1373,                 1.5304,                 1.4896,                0.57327,                 0.5517,                0.57303,                0.34777,                 1.3745,                 1.6994,                 1.6969,                0.00109,                0.00109,                0.00109
                     20,                  1.136,                 1.5132,                 1.4829,                0.61941,                0.53982,                0.58773,                0.36185,                 1.3571,                 1.6817,                 1.6809,               0.000595,               0.000595,               0.000595
